Algorithm,Data Count,Thread Count,Execution Time (s)
Bubble-Sort,5000,1,0.0611808780
Bubble-Sort,5000,1,0.0611267280
Bubble-Sort,5000,1,0.0618948360
Bubble-Sort,5000,1,0.0613564370
Bubble-Sort,5000,1,0.0608843380
Bubble-Sort,5000,1,0.0614628830
Bubble-Sort,5000,1,0.0706856840
Bubble-Sort,5000,1,0.0609497760
Bubble-Sort,5000,1,0.0617201080
Bubble-Sort,5000,1,0.0606894620
Bubble-Sort,5000,1,0.0610658860
Bubble-Sort,5000,1,0.0608771140
Bubble-Sort,5000,1,0.0611649510
Bubble-Sort,5000,1,0.0610706820
Bubble-Sort,5000,1,0.0608833000
Bubble-Sort,5000,1,0.0609249490
Bubble-Sort,5000,1,0.0613048790
Bubble-Sort,5000,1,0.0609190120
Bubble-Sort,5000,1,0.0615960130
Bubble-Sort,5000,1,0.0617749360
Bubble-Sort,5000,1,0.0612553450
Bubble-Sort,5000,1,0.0623313660
Bubble-Sort,5000,1,0.0615803780
Bubble-Sort,5000,1,0.0612718760
Bubble-Sort,5000,1,0.0615659120
Bubble-Sort,5000,1,0.0611966850
Bubble-Sort,5000,1,0.0616703390
Bubble-Sort,5000,1,0.0611529520
Bubble-Sort,5000,1,0.0613605940
Bubble-Sort,5000,1,0.0624196500
Bubble-Sort,5000,1,0.0620703200
Bubble-Sort,5000,1,0.0614113800
Bubble-Sort,5000,1,0.0645458520
Bubble-Sort,5000,1,0.0620471070
Bubble-Sort,5000,1,0.0635941100
Bubble-Sort,5000,1,0.0618146800
Bubble-Sort,5000,1,0.0619876150
Bubble-Sort,5000,1,0.0611059970
Bubble-Sort,5000,1,0.0616120740
Bubble-Sort,5000,1,0.0610844500
Bubble-Sort,5000,1,0.0627187440
Bubble-Sort,5000,1,0.0616096700
Bubble-Sort,5000,1,0.0663789140
Bubble-Sort,5000,1,0.0671300260
Bubble-Sort,5000,1,0.0614873620
Bubble-Sort,5000,1,0.0624391610
Bubble-Sort,5000,1,0.0619966990
Bubble-Sort,5000,1,0.0614309430
Bubble-Sort,5000,1,0.0653492430
Bubble-Sort,10000,1,0.2676595640
Bubble-Sort,10000,1,0.2907012540
Bubble-Sort,10000,1,0.2682211910
Bubble-Sort,10000,1,0.2720448720
Bubble-Sort,10000,1,0.2729229150
Bubble-Sort,10000,1,0.2732032650
Bubble-Sort,10000,1,0.2699276290
Bubble-Sort,10000,1,0.2711049630
Bubble-Sort,10000,1,0.2695291820
Bubble-Sort,10000,1,0.2704405180
Bubble-Sort,10000,1,0.2681210890
Bubble-Sort,10000,1,0.2691302420
Bubble-Sort,10000,1,0.2692887530
Bubble-Sort,10000,1,0.2677487430
Bubble-Sort,10000,1,0.2687975160
Bubble-Sort,10000,1,0.2668772580
Bubble-Sort,10000,1,0.2700863550
Bubble-Sort,10000,1,0.2684019370
Bubble-Sort,10000,1,0.2696818550
Bubble-Sort,10000,1,0.2681233010
Bubble-Sort,10000,1,0.2669125420
Bubble-Sort,10000,1,0.2713088170
Bubble-Sort,10000,1,0.2727321710
Bubble-Sort,10000,1,0.2668968090
Bubble-Sort,10000,1,0.2697975570
Bubble-Sort,10000,1,0.2693848960
Bubble-Sort,10000,1,0.2809963630
Bubble-Sort,10000,1,0.2684461600
Bubble-Sort,10000,1,0.2688933800
Bubble-Sort,10000,1,0.2660635890
Bubble-Sort,10000,1,0.2683748190
Bubble-Sort,10000,1,0.2675492670
Bubble-Sort,10000,1,0.2713717650
Bubble-Sort,10000,1,0.2672289990
Bubble-Sort,10000,1,0.2673999380
Bubble-Sort,10000,1,0.2687801140
Bubble-Sort,10000,1,0.2668069800
Bubble-Sort,10000,1,0.2685735000
Bubble-Sort,10000,1,0.2680404010
Bubble-Sort,10000,1,0.2728148370
Bubble-Sort,10000,1,0.2692442700
Bubble-Sort,10000,1,0.2696471500
Bubble-Sort,10000,1,0.2689280970
Bubble-Sort,10000,1,0.2675730330
Bubble-Sort,10000,1,0.2728427870
Bubble-Sort,10000,1,0.2686793140
Bubble-Sort,10000,1,0.2689687110
Bubble-Sort,10000,1,0.2686306800
Bubble-Sort,10000,1,0.2695920750
Bubble-Sort,10000,1,0.2718399080
Bubble-Sort,10000,1,0.2660345300
Bubble-Sort,10000,1,0.2679351780
Bubble-Sort,10000,1,0.2686240500
Bubble-Sort,10000,1,0.2681027950
Bubble-Sort,10000,1,0.2688575980
Bubble-Sort,10000,1,0.2708204960
Bubble-Sort,10000,1,0.2688943820
Bubble-Sort,10000,1,0.2696986850
Bubble-Sort,10000,1,0.2731262890
Bubble-Sort,10000,1,0.2817782640
Bubble-Sort,10000,1,0.2710974510
Bubble-Sort,10000,1,0.2657575570
Bubble-Sort,10000,1,0.2726495100
Bubble-Sort,10000,1,0.2693421300
Bubble-Sort,10000,1,0.2702810000
Bubble-Sort,10000,1,0.2731741430
Bubble-Sort,10000,1,0.2681050480
Bubble-Sort,10000,1,0.2705082180
Bubble-Sort,10000,1,0.2713844800
Bubble-Sort,10000,1,0.2676812580
Bubble-Sort,10000,1,0.2686382050
Bubble-Sort,10000,1,0.2692108400
Bubble-Sort,10000,1,0.2663080310
Bubble-Sort,10000,1,0.2682411940
Bubble-Sort,10000,1,0.2700064220
Bubble-Sort,10000,1,0.2667186910
Bubble-Sort,10000,1,0.2683249720
Bubble-Sort,10000,1,0.2703928550
Bubble-Sort,10000,1,0.2704203430
Bubble-Sort,10000,1,0.2782768190
Bubble-Sort,10000,1,0.2865701250
Bubble-Sort,10000,1,0.2898001150
Bubble-Sort,10000,1,0.2734159360
Bubble-Sort,10000,1,0.2682989830
Bubble-Sort,10000,1,0.3069562400
Bubble-Sort,10000,1,0.2727049630
Bubble-Sort,10000,1,0.2677351140
Bubble-Sort,10000,1,0.2677859040
Bubble-Sort,10000,1,0.2787934100
Bubble-Sort,10000,1,0.2703763620
Bubble-Sort,10000,1,0.2679475540
Bubble-Sort,10000,1,0.2670831050
Bubble-Sort,10000,1,0.2694075840
Bubble-Sort,10000,1,0.2680319190
Bubble-Sort,10000,1,0.2701894000
Bubble-Sort,10000,1,0.2710017670
Bubble-Sort,10000,1,0.2722073590
Bubble-Sort,10000,1,0.2684032990
Bubble-Sort,10000,1,0.2669103930
Bubble-Sort,10000,1,0.2678232680
Bubble-Sort,20000,1,1.1379767630
Bubble-Sort,20000,1,1.1608649640
Bubble-Sort,20000,1,1.1619125330
Bubble-Sort,20000,1,1.1480247790
Bubble-Sort,20000,1,1.1360568080
Bubble-Sort,20000,1,1.1390770710
Bubble-Sort,20000,1,1.1532791490
Bubble-Sort,20000,1,1.1517385570
Bubble-Sort,20000,1,1.1408846250
Bubble-Sort,20000,1,1.1333105880
Bubble-Sort,20000,1,1.1374361830
Bubble-Sort,20000,1,1.1547431030
Bubble-Sort,20000,1,1.1448495590
Bubble-Sort,20000,1,1.1342051430
Bubble-Sort,20000,1,1.1441913420
Bubble-Sort,20000,1,1.1444198680
Bubble-Sort,20000,1,1.1562076730
Bubble-Sort,20000,1,1.1361370680
Bubble-Sort,20000,1,1.1289851730
Bubble-Sort,20000,1,1.1372031170
Bubble-Sort,20000,1,1.1487901780
