Algorithm,Data Count,Thread Count,Mean Execution Time (s)
Parallel-Odd-Even-Transposition-Sort,500000,16,190.543492433
Parallel-Shell-Sort-Gradual-Halving,1000,1,0.0001160222
Parallel-Shell-Sort-Gradual-Halving,1000,2,0.0001258516
Parallel-Shell-Sort-Gradual-Halving,1000,4,0.0001378102
Parallel-Shell-Sort-Gradual-Halving,1000,8,0.0068138312
Parallel-Shell-Sort-Gradual-Halving,1000,16,0.0005858502
Parallel-Shell-Sort-Gradual-Halving,5000,1,0.0007776907
Parallel-Shell-Sort-Gradual-Halving,5000,2,0.0005769586
Parallel-Shell-Sort-Gradual-Halving,5000,4,0.0005610709
Parallel-Shell-Sort-Gradual-Halving,5000,8,0.0098667189
Parallel-Shell-Sort-Gradual-Halving,5000,16,0.000895235
Parallel-Shell-Sort-Gradual-Halving,10000,1,0.0015238828
Parallel-Shell-Sort-Gradual-Halving,10000,2,0.0009904061
Parallel-Shell-Sort-Gradual-Halving,10000,4,0.000743426
Parallel-Shell-Sort-Gradual-Halving,10000,8,0.009255718
Parallel-Shell-Sort-Gradual-Halving,10000,16,0.001276754
Parallel-Shell-Sort-Gradual-Halving,20000,1,0.003438078
Parallel-Shell-Sort-Gradual-Halving,20000,2,0.0020642728
Parallel-Shell-Sort-Gradual-Halving,20000,4,0.0014414798
Parallel-Shell-Sort-Gradual-Halving,20000,8,0.0071212781
Parallel-Shell-Sort-Gradual-Halving,20000,16,0.0025664078
Parallel-Shell-Sort-Gradual-Halving,40000,1,0.007596714
Parallel-Shell-Sort-Gradual-Halving,40000,2,0.0043324886
Parallel-Shell-Sort-Gradual-Halving,40000,4,0.0030763631
Parallel-Shell-Sort-Gradual-Halving,40000,8,0.010429079
Parallel-Shell-Sort-Gradual-Halving,40000,16,0.0036892813
Parallel-Shell-Sort-Gradual-Halving,60000,1,0.012006041
Parallel-Shell-Sort-Gradual-Halving,60000,2,0.0075229596
Parallel-Shell-Sort-Gradual-Halving,60000,4,0.0054520347
Parallel-Shell-Sort-Gradual-Halving,60000,8,0.0125844578
Parallel-Shell-Sort-Gradual-Halving,60000,16,0.0052426324
Parallel-Shell-Sort-Gradual-Halving,80000,1,0.0172282489
Parallel-Shell-Sort-Gradual-Halving,80000,2,0.0099466387
Parallel-Shell-Sort-Gradual-Halving,80000,4,0.0071571829
Parallel-Shell-Sort-Gradual-Halving,80000,8,0.0198035278
Parallel-Shell-Sort-Gradual-Halving,80000,16,0.0069511669
Parallel-Shell-Sort-Gradual-Halving,100000,1,0.024062812
Parallel-Shell-Sort-Gradual-Halving,100000,2,0.0128602074
Parallel-Shell-Sort-Gradual-Halving,100000,4,0.009147252
Parallel-Shell-Sort-Gradual-Halving,100000,8,0.0215467524
Parallel-Shell-Sort-Gradual-Halving,100000,16,0.0091316722
Parallel-Shell-Sort-Gradual-Halving,200000,1,0.0546604566
Parallel-Shell-Sort-Gradual-Halving,200000,2,0.0291685302
Parallel-Shell-Sort-Gradual-Halving,200000,4,0.0194057934
